username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
NoticiasAirSim,2018-07-28 00:12,0,3,"Jajaja, bueno, la suerte de poder escucharle por VATSIM =P",,,,1022967996833251335,https://twitter.com/NoticiasAirSim/status/1022967996833251335
NoticiasAirSim,2018-07-28 00:10,2,3,"El de salida LEMD, que además nos lo hemos encontrado en frecuencia mientras estaba con un alumno en LECU en @ vatsimSpain y el de llegada diría LEPA =P",,@,,1022967542237863936,https://twitter.com/NoticiasAirSim/status/1022967542237863936
NoticiasAirSim,2018-07-27 23:46,1,2,"Muy buena filosofía en la formación. Buen tiempo de respuesta, buenos recursos, buena flexibilidad y sin prisas, el tiempo y explicaciones necesarias para entender las cosas bien. Como siempre, recomendable probar VATSIM 100%",,,,1022961426762293248,https://twitter.com/NoticiasAirSim/status/1022961426762293248
NoticiasAirSim,2018-07-27 23:07,0,2,"Mañana en @ vatsim @ VATGER Frankfurt RealOps de 15z-21z. Evento en el que se espera gran cantidad de tráficos y buen control. Reservas, y más info como cartas, meteo o notams, en la web: https://vossenberg.org/vatsim/realops/  ¡Muy buena pinta! Igual me animo y participo.pic.twitter.com/AcSGR01Qf9",,@ @,,1022951752499388416,https://twitter.com/NoticiasAirSim/status/1022951752499388416
NoticiasAirSim,2018-07-27 18:16,0,0,Not bad... Lo he visto mejor =P,,,,1022878484027322368,https://twitter.com/NoticiasAirSim/status/1022878484027322368
NoticiasAirSim,2018-07-27 17:12,0,4,"Madrid Control, Barcelona Control, Canarias Control y Palma Control en @ vatsimSpain. Y esta tarde trainning en palma Torre a las 17z. ¡Mucho servicio ATC!pic.twitter.com/H5zUZf7XDx",,@,,1022862239106310144,https://twitter.com/NoticiasAirSim/status/1022862239106310144
NoticiasAirSim,2018-07-27 00:20,0,0,Eras tú el que estuviste controlando antes del trainning ehh. Tuviste un montón de tráfico :) La siguiente mencióname y me entero antes =P,,,,1022607709286350848,https://twitter.com/NoticiasAirSim/status/1022607709286350848
NoticiasAirSim,2018-07-27 00:07,0,1,¡Buena iniciativa! Muy buen grupo ;),,,,1022604410361470976,https://twitter.com/NoticiasAirSim/status/1022604410361470976
NoticiasAirSim,2018-07-26 22:44,1,5,"Yo ya he puesto mis ""clasecitas"". A ver si me desoxido yo también, que los alumnos son exigentes =P Dando siempre el 100% y una buena instrucción, o eso nos dicen.",,,,1022583432906506241,https://twitter.com/NoticiasAirSim/status/1022583432906506241
NoticiasAirSim,2018-07-26 22:35,0,3,"¡Gracias! De verdad, estos agradecimientos no cuestan nada y se agradecen. ¡Un placer!",,,,1022581108406403072,https://twitter.com/NoticiasAirSim/status/1022581108406403072
